epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,6223.27,1.36242,0.67294,0.96011,0.84911,0.58999,0.67361,0.37095,1.34704,0.60239,0.98313,0.004159,0.004159,0.004159
120,6275.46,1.3634,0.67159,0.95884,0.8502,0.58961,0.67388,0.3712,1.34691,0.6022,0.98309,0.0041095,0.0041095,0.0041095
121,6327.97,1.36024,0.66987,0.95829,0.84837,0.5907,0.67412,0.37124,1.34705,0.60209,0.98309,0.00406,0.00406,0.00406
122,6379.94,1.35694,0.66849,0.95795,0.84799,0.59104,0.67407,0.37162,1.34699,0.60213,0.98307,0.0040105,0.0040105,0.0040105
123,6432.19,1.35098,0.66494,0.95722,0.84852,0.59084,0.67418,0.37172,1.34708,0.60197,0.98302,0.003961,0.003961,0.003961
124,6484.42,1.34582,0.66054,0.95552,0.84933,0.59051,0.67419,0.37178,1.34706,0.60217,0.98301,0.0039115,0.0039115,0.0039115
125,6536.91,1.35341,0.66701,0.95664,0.84969,0.59057,0.67445,0.37181,1.34693,0.60195,0.98298,0.003862,0.003862,0.003862
126,6589.33,1.35196,0.6647,0.95669,0.84955,0.59054,0.67443,0.37184,1.34701,0.60191,0.98295,0.0038125,0.0038125,0.0038125
127,6641.42,1.34743,0.66268,0.95861,0.85128,0.58966,0.6745,0.37205,1.34689,0.60146,0.98286,0.003763,0.003763,0.003763
128,6693.48,1.35033,0.66197,0.95736,0.85146,0.58974,0.67459,0.3721,1.34705,0.60131,0.98279,0.0037135,0.0037135,0.0037135
129,6745.39,1.33993,0.65907,0.95684,0.84884,0.59062,0.6746,0.37217,1.34716,0.6012,0.98277,0.003664,0.003664,0.003664
130,6797.41,1.34104,0.65823,0.95626,0.84993,0.59026,0.67472,0.37227,1.34703,0.60106,0.98268,0.0036145,0.0036145,0.0036145
131,6849.63,1.34713,0.66141,0.95336,0.84979,0.59015,0.67488,0.37231,1.34714,0.60088,0.98262,0.003565,0.003565,0.003565
132,6901.83,1.33905,0.65789,0.95428,0.85056,0.59066,0.67514,0.37242,1.34695,0.60072,0.98255,0.0035155,0.0035155,0.0035155
133,6954.21,1.34702,0.66358,0.95594,0.85077,0.59068,0.67516,0.37251,1.34681,0.60071,0.98242,0.003466,0.003466,0.003466
134,7006.64,1.34394,0.66025,0.9542,0.85087,0.59024,0.67487,0.37242,1.34695,0.60055,0.98237,0.0034165,0.0034165,0.0034165
135,7059.05,1.34534,0.6565,0.95485,0.85135,0.59066,0.67503,0.37251,1.34676,0.60042,0.98235,0.003367,0.003367,0.003367
136,7111.28,1.34507,0.65871,0.95304,0.85068,0.59074,0.67509,0.3726,1.34679,0.60016,0.98234,0.0033175,0.0033175,0.0033175
137,7163.51,1.33006,0.65223,0.95212,0.85078,0.59062,0.67518,0.37248,1.34686,0.59992,0.98229,0.003268,0.003268,0.003268
138,7215.34,1.33436,0.65052,0.95159,0.85039,0.59096,0.67523,0.37247,1.34697,0.60001,0.98228,0.0032185,0.0032185,0.0032185
139,7267.5,1.33611,0.65599,0.95172,0.85093,0.59084,0.67556,0.37266,1.34688,0.59991,0.98223,0.003169,0.003169,0.003169
140,7319.56,1.33421,0.65131,0.95161,0.85256,0.58953,0.67525,0.3727,1.34667,0.59993,0.98218,0.0031195,0.0031195,0.0031195
141,7371.65,1.33832,0.65646,0.95125,0.85186,0.59041,0.67558,0.37295,1.34682,0.59976,0.98222,0.00307,0.00307,0.00307
142,7423.77,1.3347,0.65146,0.95383,0.85123,0.59071,0.67585,0.37295,1.34681,0.59984,0.98213,0.0030205,0.0030205,0.0030205
143,7475.79,1.33143,0.65115,0.95039,0.85158,0.59046,0.67584,0.37312,1.34681,0.59986,0.98214,0.002971,0.002971,0.002971
144,7527.81,1.32494,0.64788,0.95048,0.85256,0.59011,0.67609,0.37315,1.34683,0.5998,0.98209,0.0029215,0.0029215,0.0029215
145,7579.85,1.32864,0.64978,0.95035,0.85284,0.59003,0.67598,0.3732,1.34677,0.59982,0.98208,0.002872,0.002872,0.002872
146,7632.16,1.32475,0.6461,0.94847,0.85341,0.58991,0.6762,0.37334,1.3467,0.59947,0.98203,0.0028225,0.0028225,0.0028225
147,7684.23,1.31937,0.64358,0.94894,0.85402,0.58988,0.6764,0.37354,1.3467,0.59959,0.98198,0.002773,0.002773,0.002773
148,7736.26,1.3152,0.63993,0.94544,0.85275,0.59044,0.67652,0.37357,1.34671,0.59959,0.98197,0.0027235,0.0027235,0.0027235
149,7788.06,1.32066,0.64343,0.94549,0.85513,0.58958,0.67654,0.37364,1.34685,0.59956,0.98187,0.002674,0.002674,0.002674
150,7840.39,1.31901,0.64119,0.94558,0.85354,0.59031,0.6765,0.37373,1.34688,0.59933,0.98184,0.0026245,0.0026245,0.0026245
151,7892.63,1.32057,0.64235,0.94617,0.85498,0.58977,0.67672,0.37393,1.347,0.59939,0.9818,0.002575,0.002575,0.002575
152,7944.8,1.32377,0.64632,0.94881,0.85504,0.58991,0.67669,0.37392,1.34695,0.5993,0.9817,0.0025255,0.0025255,0.0025255
153,7996.51,1.31877,0.64056,0.94616,0.85525,0.59014,0.67687,0.37399,1.34719,0.59929,0.98176,0.002476,0.002476,0.002476
154,8048.32,1.32105,0.64281,0.94527,0.85551,0.58991,0.67688,0.37412,1.34716,0.59933,0.98175,0.0024265,0.0024265,0.0024265
155,8100.28,1.31427,0.64002,0.94563,0.85429,0.59034,0.67697,0.37416,1.34715,0.59919,0.98177,0.002377,0.002377,0.002377
156,8152.29,1.3089,0.63624,0.94512,0.85482,0.59033,0.67714,0.37419,1.34701,0.59904,0.98165,0.0023275,0.0023275,0.0023275
157,8204.96,1.31799,0.63968,0.94356,0.85398,0.59064,0.67728,0.37421,1.34735,0.59915,0.9817,0.002278,0.002278,0.002278
158,8257.17,1.30576,0.6344,0.94468,0.85395,0.59069,0.67732,0.37424,1.34727,0.59906,0.98165,0.0022285,0.0022285,0.0022285
159,8309.24,1.30559,0.63499,0.94181,0.85388,0.59076,0.67737,0.37438,1.34727,0.59904,0.98168,0.002179,0.002179,0.002179
160,8361.03,1.29477,0.62774,0.94555,0.85508,0.59014,0.67753,0.3744,1.34743,0.59891,0.98173,0.0021295,0.0021295,0.0021295
161,8413.11,1.30785,0.63345,0.94134,0.85382,0.59094,0.67747,0.37433,1.34741,0.59893,0.98176,0.00208,0.00208,0.00208
162,8464.86,1.298,0.62975,0.94104,0.85356,0.59131,0.67771,0.37428,1.34728,0.59861,0.98168,0.0020305,0.0020305,0.0020305
163,8517.13,1.30041,0.62836,0.93978,0.85255,0.59182,0.67761,0.37443,1.34735,0.59853,0.98163,0.001981,0.001981,0.001981
164,8569.21,1.312,0.63615,0.94362,0.8531,0.59167,0.67801,0.37449,1.34717,0.59843,0.98163,0.0019315,0.0019315,0.0019315
165,8621.21,1.29893,0.62922,0.93946,0.85359,0.59165,0.67805,0.37471,1.34728,0.59844,0.98167,0.001882,0.001882,0.001882
166,8673.45,1.2989,0.62751,0.93991,0.85418,0.59147,0.67796,0.37464,1.34748,0.59829,0.98172,0.0018325,0.0018325,0.0018325
167,8725.8,1.29909,0.62691,0.94128,0.85412,0.59146,0.67806,0.37473,1.34776,0.59836,0.98174,0.001783,0.001783,0.001783
168,8777.97,1.3019,0.62872,0.93874,0.8543,0.59129,0.67791,0.37474,1.34784,0.59826,0.9818,0.0017335,0.0017335,0.0017335
169,8830.37,1.28918,0.61998,0.93818,0.85403,0.59193,0.67832,0.37485,1.34796,0.59819,0.98181,0.001684,0.001684,0.001684
170,8882.7,1.29455,0.62348,0.93835,0.8541,0.59197,0.67854,0.37493,1.34807,0.59825,0.9818,0.0016345,0.0016345,0.0016345
171,8934.93,1.28724,0.61971,0.93845,0.85469,0.59149,0.67841,0.37508,1.34825,0.59819,0.98181,0.001585,0.001585,0.001585
172,8987.14,1.28945,0.6215,0.93642,0.85453,0.59195,0.67845,0.37496,1.34862,0.59815,0.9819,0.0015355,0.0015355,0.0015355
173,9039.29,1.28789,0.6229,0.93635,0.8542,0.59162,0.67829,0.37514,1.34843,0.59783,0.98192,0.001486,0.001486,0.001486
174,9091.43,1.2942,0.62174,0.93913,0.85434,0.59191,0.67864,0.37541,1.34841,0.59757,0.98195,0.0014365,0.0014365,0.0014365
175,9143.81,1.29021,0.62014,0.93432,0.85409,0.592,0.67873,0.3755,1.34841,0.59735,0.98192,0.001387,0.001387,0.001387
176,9196.01,1.28149,0.61606,0.9348,0.85495,0.59187,0.6789,0.3757,1.34854,0.59731,0.98191,0.0013375,0.0013375,0.0013375
177,9248.23,1.28607,0.61769,0.93499,0.85373,0.59218,0.67879,0.37573,1.34862,0.59731,0.9819,0.001288,0.001288,0.001288
178,9300.33,1.27809,0.61254,0.93434,0.85355,0.59205,0.67859,0.37563,1.34869,0.59729,0.98185,0.0012385,0.0012385,0.0012385
179,9352.25,1.27337,0.61104,0.93405,0.85392,0.59207,0.67891,0.37587,1.34845,0.59703,0.98179,0.001189,0.001189,0.001189
180,9404.37,1.28253,0.61454,0.93403,0.85379,0.5921,0.6789,0.37582,1.34873,0.59694,0.9818,0.0011395,0.0011395,0.0011395
181,9456.63,1.28046,0.61455,0.9323,0.85454,0.59165,0.67871,0.37589,1.34881,0.59686,0.98178,0.00109,0.00109,0.00109
182,9508.81,1.27057,0.60926,0.9323,0.85495,0.59155,0.67893,0.37586,1.34882,0.59673,0.98181,0.0010405,0.0010405,0.0010405
183,9561.3,1.27147,0.6095,0.92944,0.85415,0.59192,0.67887,0.37609,1.34867,0.59672,0.98182,0.000991,0.000991,0.000991
184,9613.31,1.26808,0.60801,0.93146,0.85435,0.59238,0.67909,0.37596,1.34905,0.59658,0.98188,0.0009415,0.0009415,0.0009415
185,9665.35,1.27436,0.61096,0.93227,0.8541,0.5922,0.67898,0.37604,1.34915,0.59656,0.98191,0.000892,0.000892,0.000892
186,9717.31,1.2698,0.60822,0.92936,0.8534,0.59275,0.67923,0.37601,1.3494,0.59654,0.98191,0.0008425,0.0008425,0.0008425
